"agency_cd","site_no","Date","Flow","Flow_cd","GH","GH_cd"
"USGS","02232400",2017-10-10,7370,"P",17.29,"P"
"USGS","02232400",2017-10-11,7100,"P",17.22,"P"
"USGS","02232400",2017-10-12,7060,"P",17.13,"P"
"USGS","02232400",2017-10-13,7040,"P",17.09,"P"
"USGS","02232400",2017-10-14,7100,"P",17.12,"P"
"USGS","02232400",2017-10-15,7160,"P",17.09,"P"
"USGS","02232400",2017-10-16,7230,"P",17.05,"P"
"USGS","02232400",2017-10-17,7040,"P",16.98,"P"
"USGS","02232400",2017-10-18,6970,"P",16.94,"P"
"USGS","02232400",2017-10-19,6950,"P",16.91,"P"
"USGS","02232400",2017-10-20,6870,"P",16.87,"P"
"USGS","02232400",2017-10-21,6830,"P",16.83,"P"
"USGS","02232400",2017-10-22,6770,"P",16.77,"P"
"USGS","02232400",2017-10-23,6770,"P",16.72,"P"
"USGS","02232400",2017-10-24,7010,"P",16.81,"P"
"USGS","02232400",2017-10-25,6850,"P",16.79,"P"
"USGS","02232400",2017-10-26,6920,"P",16.75,"P"
"USGS","02232400",2017-10-27,6890,"P",16.7,"P"
"USGS","02232400",2017-10-28,6840,"P",16.66,"P"
"USGS","02232400",2017-10-29,6370,"P",16.56,"P"
"USGS","02232400",2017-10-30,6520,"P [4]",16.5,"P"
"USGS","02232400",2017-10-31,6460,"P",16.43,"P"
"USGS","02232400",2017-11-01,6380,"P",16.35,"P"
"USGS","02232400",2017-11-02,6220,"P",16.27,"P"
"USGS","02232400",2017-11-03,6030,"P",16.17,"P"
"USGS","02232400",2017-11-04,5930,"P",16.09,"P"
"USGS","02232400",2017-11-05,5840,"P",16.01,"P"
"USGS","02232400",2017-11-06,5730,"P",15.93,"P"
"USGS","02232400",2017-11-07,5630,"P",15.86,"P"
"USGS","02232400",2017-11-08,5530,"P",15.79,"P"
"USGS","02232400",2017-11-09,5440,"P",15.72,"P"
"USGS","02232400",2017-11-10,5150,"P",15.63,"P"
"USGS","02232500",2017-10-10,7930,"P",10.29,"P"
"USGS","02232500",2017-10-11,7960,"P",10.27,"P"
"USGS","02232500",2017-10-12,7800,"P",10.25,"P"
"USGS","02232500",2017-10-13,7750,"P",10.23,"P"
"USGS","02232500",2017-10-14,7730,"P",10.24,"P"
"USGS","02232500",2017-10-15,7630,"P",10.19,"P"
"USGS","02232500",2017-10-16,7540,"P",10.15,"P"
"USGS","02232500",2017-10-17,7340,"P",10.12,"P"
"USGS","02232500",2017-10-18,7310,"P",10.13,"P"
"USGS","02232500",2017-10-19,7360,"P",10.09,"P"
"USGS","02232500",2017-10-20,7310,"P",10.04,"P"
"USGS","02232500",2017-10-21,7240,"P",9.99,"P"
"USGS","02232500",2017-10-22,7070,"P",9.94,"P"
"USGS","02232500",2017-10-23,6920,"P",9.89,"P"
"USGS","02232500",2017-10-24,7280,"P",9.95,"P"
"USGS","02232500",2017-10-25,7050,"P",9.91,"P"
"USGS","02232500",2017-10-26,7350,"P",9.91,"P"
"USGS","02232500",2017-10-27,7340,"P",9.88,"P"
"USGS","02232500",2017-10-28,7140,"P",9.83,"P"
"USGS","02232500",2017-10-29,6770,"P",9.77,"P"
"USGS","02232500",2017-10-30,6880,"P e",,
"USGS","02232500",2017-10-31,6900,"P e",,
"USGS","02232500",2017-11-01,6740,"P",9.56,"P"
"USGS","02232500",2017-11-02,6670,"P",9.49,"P"
"USGS","02232500",2017-11-03,6480,"P",9.42,"P"
"USGS","02232500",2017-11-04,6400,"P",9.36,"P"
"USGS","02232500",2017-11-05,6290,"P",9.29,"P"
"USGS","02232500",2017-11-06,6210,"P",9.22,"P"
"USGS","02232500",2017-11-07,6130,"P",9.14,"P"
"USGS","02232500",2017-11-08,5980,"P",9.06,"P"
"USGS","02232500",2017-11-09,5840,"P",8.99,"P"
"USGS","02232500",2017-11-10,5640,"P",8.91,"P"
"USGS","02234000",2017-10-10,8280,"P",10.17,"P"
"USGS","02234000",2017-10-11,8210,"P",10.16,"P"
"USGS","02234000",2017-10-12,8200,"P",10.14,"P"
"USGS","02234000",2017-10-13,8480,"P",10.13,"P"
"USGS","02234000",2017-10-14,8660,"P",10.17,"P"
"USGS","02234000",2017-10-15,8550,"P",10.15,"P"
"USGS","02234000",2017-10-16,8530,"P",10.11,"P"
"USGS","02234000",2017-10-17,8350,"P",10.05,"P"
"USGS","02234000",2017-10-18,8600,"P",10.08,"P"
"USGS","02234000",2017-10-19,8610,"P",10.06,"P"
"USGS","02234000",2017-10-20,8590,"P",10.03,"P"
"USGS","02234000",2017-10-21,8530,"P",10,"P"
"USGS","02234000",2017-10-22,8620,"P",9.96,"P"
"USGS","02234000",2017-10-23,8540,"P",9.91,"P"
"USGS","02234000",2017-10-24,8320,"P",9.9,"P"
"USGS","02234000",2017-10-25,8230,"P",9.8,"P"
"USGS","02234000",2017-10-26,8490,"P",9.76,"P"
"USGS","02234000",2017-10-27,8560,"P",9.72,"P"
"USGS","02234000",2017-10-28,8440,"P",9.69,"P"
"USGS","02234000",2017-10-29,8100,"P",9.63,"P"
"USGS","02234000",2017-10-30,8330,"P",9.56,"P"
"USGS","02234000",2017-10-31,8200,"P",9.5,"P"
"USGS","02234000",2017-11-01,7950,"P",9.44,"P"
"USGS","02234000",2017-11-02,7850,"P",9.38,"P"
"USGS","02234000",2017-11-03,7580,"P",9.3,"P"
"USGS","02234000",2017-11-04,7690,"P",9.23,"P"
"USGS","02234000",2017-11-05,7660,"P",9.16,"P"
"USGS","02234000",2017-11-06,7580,"P",9.08,"P"
"USGS","02234000",2017-11-07,7410,"P",9.01,"P"
"USGS","02234000",2017-11-08,7220,"P",8.93,"P"
"USGS","02234000",2017-11-09,7000,"P",8.84,"P"
"USGS","02234000",2017-11-10,6690,"P",8.72,"P"
